,text,Tweet_tokenized,sentiment
40,n  rog never heard esti beat acum  u tweet much,"['n', 'rog', 'never', 'heard', 'esti', 'beat', 'acum', 'u', 'tweet', 'much']",neutral
41,I alway forget someth I travel  I newark airport ,"['I', 'alway', 'forget', 'someth', 'I', 'travel', 'I', 'newark', 'airport']",neutral
42,should left car walk home  I might need someon rescu petrol  light flash,"['should', 'left', 'car', 'walk', 'home', 'I', 'might', 'need', 'someon', 'rescu', 'petrol', 'light', 'flash']",positive
43,i m updat brett  phone beep really   look wed stuff  again for next five months ,"['i', 'm', 'updat', 'brett', 'phone', 'beep', 'really', 'look', 'wed', 'stuff', 'again', 'for', 'next', 'five', 'months']",negative
44,Hi there  I agree  small child run happy  break tear,"['Hi', 'there', 'I', 'agree', 'small', 'child', 'run', 'happy', 'break', 'tear']",negative
45,hope ur havin fun da club,"['hope', 'ur', 'havin', 'fun', 'da', 'club']",neutral
46,miss old phone work good drop want new one birthday   ,"['miss', 'old', 'phone', 'work', 'good', 'drop', 'want', 'new', 'one', 'birthday']",neutral
47,think SG wonder,"['think', 'SG', 'wonder']",neutral
48,im realli sorri know wallah u feel life shittttttttt,"['im', 'realli', 'sorri', 'know', 'wallah', 'u', 'feel', 'life', 'shittttttttt']",neutral
49,not happi,"['not', 'happi']",neutral
50,Is watch acoust performances    In mood good  friends  episode  I miss show,"['Is', 'watch', 'acoust', 'performances', 'In', 'mood', 'good', 'friends', 'episode', 'I', 'miss', 'show']",neutral
51,i ll oscil one other ,"['i', 'll', 'oscil', 'one', 'other']",neutral
52,i m tired   and insomnia ,"['i', 'm', 'tired', 'and', 'insomnia']",neutral
53,thank ennio,"['thank', 'ennio']",neutral
54,total come get bring kelslaw hous you ,"['total', 'come', 'get', 'bring', 'kelslaw', 'hous', 'you']",neutral
55,you seem nice  you r gener know stuff,"['you', 'seem', 'nice', 'you', 'r', 'gener', 'know', 'stuff']",neutral
56,U dirrrrrty    whi oh I pick hawk I figur I need longshot better bet car,"['U', 'dirrrrrty', 'whi', 'oh', 'I', 'pick', 'hawk', 'I', 'figur', 'I', 'need', 'longshot', 'better', 'bet', 'car']",neutral
57,almost got kitti yesterday   but didn t work,"['almost', 'got', 'kitti', 'yesterday', 'but', 'didn', 't', 'work']",neutral
58,realiti need check in  school over  time parti tonight tho  im go bed  night  night ,"['realiti', 'need', 'check', 'in', 'school', 'over', 'time', 'parti', 'tonight', 'tho', 'im', 'go', 'bed', 'night', 'night']",positive
59,caladesi definit nice peac way spend sunday  I got lil tan ,"['caladesi', 'definit', 'nice', 'peac', 'way', 'spend', 'sunday', 'I', 'got', 'lil', 'tan']",neutral
60,still dont know would though,"['still', 'dont', 'know', 'would', 'though']",negative
61, xo dang it  certain       okay ,"['xo', 'dang', 'it', 'certain', 'okay']",neutral
62,chang plans  I stay brandon  No papaya salad me ,"['chang', 'plans', 'I', 'stay', 'brandon', 'No', 'papaya', 'salad', 'me']",neutral
63,dear rain  suck  now I gotta chang plan tonight,"['dear', 'rain', 'suck', 'now', 'I', 'gotta', 'chang', 'plan', 'tonight']",neutral
64,starbuck love  eff school  work later too ,"['starbuck', 'love', 'eff', 'school', 'work', 'later', 'too']",neutral
65,I cri whilst watch hollyoak    need life  lol,"['I', 'cri', 'whilst', 'watch', 'hollyoak', 'need', 'life', 'lol']",positive
66,Hi all  recov party  look forward excit bank holiday around diy shops   lif cant get much better sur,"['Hi', 'all', 'recov', 'party', 'look', 'forward', 'excit', 'bank', 'holiday', 'around', 'diy', 'shops', 'lif', 'cant', 'get', 'much', 'better', 'sur']",negative
67,termin salvation    myself ,"['termin', 'salvation', 'myself']",neutral
68,for   the   loss  dumbfac    him  u  u wknd  wanna seeeeeee ya ,"['for', 'the', 'loss', 'dumbfac', 'him', 'u', 'u', 'wknd', 'wanna', 'seeeeeee', 'ya']",neutral
69,whi I enter registr detail everi time I update ,"['whi', 'I', 'enter', 'registr', 'detail', 'everi', 'time', 'I', 'update']",neutral
70,On monday  wont abl you  love,"['On', 'monday', 'wont', 'abl', 'you', 'love']",neutral
71,Ur cute  i m fan dream A littl dream  thi kiss appear like dawson  creek make flicks ,"['Ur', 'cute', 'i', 'm', 'fan', 'dream', 'A', 'littl', 'dream', 'thi', 'kiss', 'appear', 'like', 'dawson', 'creek', 'make', 'flicks']",neutral
72,tgif right   i think I broke toe last night   bad foot ,"['tgif', 'right', 'i', 'think', 'I', 'broke', 'toe', 'last', 'night', 'bad', 'foot']",neutral
73,oherr it  soon then  plans  I parti saturday x,"['oherr', 'it', 'soon', 'then', 'plans', 'I', 'parti', 'saturday', 'x']",neutral
74, lamont yr young look dude,"['lamont', 'yr', 'young', 'look', 'dude']",neutral
75,  hmmm  wrong link  ignor tweet,"['hmmm', 'wrong', 'link', 'ignor', 'tweet']",neutral
76,at t cheat system I green day ticket      at t ,"['at', 't', 'cheat', 'system', 'I', 'green', 'day', 'ticket', 'at', 't']",positive
77,traci berwick break achi breaki heart they split way hallways ,"['traci', 'berwick', 'break', 'achi', 'breaki', 'heart', 'they', 'split', 'way', 'hallways']",negative
78,yep  wish play dubiln,"['yep', 'wish', 'play', 'dubiln']",neutral
79,im ladi ladi don t move couches  direct couch go,"['im', 'ladi', 'ladi', 'don', 't', 'move', 'couches', 'direct', 'couch', 'go']",neutral
80,yay block party  you r bomb  blockhead   dave  thank support nkotb ,"['yay', 'block', 'party', 'you', 'r', 'bomb', 'blockhead', 'dave', 'thank', 'support', 'nkotb']",positive
81,th februari,"['th', 'februari']",neutral
82,guess what  mom adopt kitti today   months  hi name corki,"['guess', 'what', 'mom', 'adopt', 'kitti', 'today', 'months', 'hi', 'name', 'corki']",negative
83,happi birthday snickers       I hope best day ever  let  go shopping   ,"['happi', 'birthday', 'snickers', 'I', 'hope', 'best', 'day', 'ever', 'let', 'go', 'shopping']",neutral
84,thank you  i m work  s,"['thank', 'you', 'i', 'm', 'work', 's']",neutral
85,lol man got     hr iont woulda made wit ramen noodl t v  time,"['lol', 'man', 'got', 'hr', 'iont', 'woulda', 'made', 'wit', 'ramen', 'noodl', 't', 'v', 'time']",positive
86,not feel well today,"['not', 'feel', 'well', 'today']",neutral
87,   My ear hurts  thi medicine  gum,"['My', 'ear', 'hurts', 'thi', 'medicine', 'gum']",neutral
88, berland lmao I know I know,"['berland', 'lmao', 'I', 'know', 'I', 'know']",neutral
89,gnight shar        vega       ,"['gnight', 'shar', 'vega']",neutral
90,the underwir bra stick poke armpit,"['the', 'underwir', 'bra', 'stick', 'poke', 'armpit']",neutral
91,happi mother day   ,"['happi', 'mother', 'day']",negative
92,yes  I,"['yes', 'I']",neutral
93,I can t call mitch  Im sweden ,"['I', 'can', 't', 'call', 'mitch', 'Im', 'sweden']",neutral
94,happi star war day  may fourth,"['happi', 'star', 'war', 'day', 'may', 'fourth']",neutral
95,excit eat wartermelon bought day terribl sweet,"['excit', 'eat', 'wartermelon', 'bought', 'day', 'terribl', 'sweet']",neutral
96,watch marley   me   i cri hard ,"['watch', 'marley', 'me', 'i', 'cri', 'hard']",neutral
97,take antibacteri school clean hand cant go loo,"['take', 'antibacteri', 'school', 'clean', 'hand', 'cant', 'go', 'loo']",negative
98,i m leav work now  tri decid I return sunday afternoon monday  meet noon  uk time  deadline ,"['i', 'm', 'leav', 'work', 'now', 'tri', 'decid', 'I', 'return', 'sunday', 'afternoon', 'monday', 'meet', 'noon', 'uk', 'time', 'deadline']",neutral
99,haaaw  wel get class    i hope make,"['haaaw', 'wel', 'get', 'class', 'i', 'hope', 'make']",neutral
100,oooh  sunshine  A patch sunshine  and gone time I leav work replac rain   vent,"['oooh', 'sunshine', 'A', 'patch', 'sunshine', 'and', 'gone', 'time', 'I', 'leav', 'work', 'replac', 'rain', 'vent']",neutral
101,skype call billi webcam dont work,"['skype', 'call', 'billi', 'webcam', 'dont', 'work']",neutral
102,just great studi time follow delici japanes meal arty  now  tri get back studi mood,"['just', 'great', 'studi', 'time', 'follow', 'delici', 'japanes', 'meal', 'arty', 'now', 'tri', 'get', 'back', 'studi', 'mood']",neutral
103,fml car prohibit find job,"['fml', 'car', 'prohibit', 'find', 'job']",neutral
104,lol sinc I got twitter littl ago  seem like load peopl set account,"['lol', 'sinc', 'I', 'got', 'twitter', 'littl', 'ago', 'seem', 'like', 'load', 'peopl', 'set', 'account']",neutral
105,I want see david cook  ,"['I', 'want', 'see', 'david', 'cook']",neutral
106,yeh ,['yeh'],neutral
107,learn tat scenic way din plan go town somehow herd there ,"['learn', 'tat', 'scenic', 'way', 'din', 'plan', 'go', 'town', 'somehow', 'herd', 'there']",neutral
108,don t want anyth specific  want see puppy ,"['don', 't', 'want', 'anyth', 'specific', 'want', 'see', 'puppy']",negative
109,yeah need fricken cell number ive tri home month he busy  miss braddddddddd,"['yeah', 'need', 'fricken', 'cell', 'number', 'ive', 'tri', 'home', 'month', 'he', 'busy', 'miss', 'braddddddddd']",negative
110,toy stori  trailer premier up  I need comput back ,"['toy', 'stori', 'trailer', 'premier', 'up', 'I', 'need', 'comput', 'back']",neutral
111,ughh phone hp ,"['ughh', 'phone', 'hp']",neutral
112,and  hand made dan   jenn  sock blocker     made exot wood     one call  purpl heart ,"['and', 'hand', 'made', 'dan', 'jenn', 'sock', 'blocker', 'made', 'exot', 'wood', 'one', 'call', 'purpl', 'heart']",positive
113,yay break  ,"['yay', 'break']",positive
114,bahah sadli I,"['bahah', 'sadli', 'I']",neutral
115,alway champion leagu parti ti awesom,"['alway', 'champion', 'leagu', 'parti', 'ti', 'awesom']",neutral
116,well  all  stay away kind surround don t  happi mother  day ur mom  treiz ,"['well', 'all', 'stay', 'away', 'kind', 'surround', 'don', 't', 'happi', 'mother', 'day', 'ur', 'mom', 'treiz']",negative
117, adel didn t repli yet   wait till confirm   case somebodi might translat already  ,"['adel', 'didn', 't', 'repli', 'yet', 'wait', 'till', 'confirm', 'case', 'somebodi', 'might', 'translat', 'already']",neutral
118,that rough  hubbi knee surgeri help end  let u know results  we ll keep prayer,"['that', 'rough', 'hubbi', 'knee', 'surgeri', 'help', 'end', 'let', 'u', 'know', 'results', 'we', 'll', 'keep', 'prayer']",neutral
119,might go back much earlier expected  bye bye bay area,"['might', 'go', 'back', 'much', 'earlier', 'expected', 'bye', 'bye', 'bay', 'area']",neutral
120,playin citi villains  wishin buddi playin me     ,"['playin', 'citi', 'villains', 'wishin', 'buddi', 'playin', 'me']",neutral
121,yep   three things  good haircut  abil listen valu take serious,"['yep', 'three', 'things', 'good', 'haircut', 'abil', 'listen', 'valu', 'take', 'serious']",neutral
122,riley hack twitter  hahaha   ,"['riley', 'hack', 'twitter', 'hahaha']",neutral
123,big sad face bing doesn t work iphone  It take regular mobil live search ,"['big', 'sad', 'face', 'bing', 'doesn', 't', 'work', 'iphone', 'It', 'take', 'regular', 'mobil', 'live', 'search']",neutral
124,I like it  did record yourself  If sooth voice ,"['I', 'like', 'it', 'did', 'record', 'yourself', 'If', 'sooth', 'voice']",neutral
125,man im sad school end high school might better  O,"['man', 'im', 'sad', 'school', 'end', 'high', 'school', 'might', 'better', 'O']",neutral
126,folk thought hilari I told story  saw shirt I wore tonight  laughter night ,"['folk', 'thought', 'hilari', 'I', 'told', 'story', 'saw', 'shirt', 'I', 'wore', 'tonight', 'laughter', 'night']",neutral
127,you r absout best,"['you', 'r', 'absout', 'best']",neutral
128,oh god    cri much    watch guy bgt ,"['oh', 'god', 'cri', 'much', 'watch', 'guy', 'bgt']",neutral
129,My near daili exercis start show results ,"['My', 'near', 'daili', 'exercis', 'start', 'show', 'results']",negative
130,welcome ,['welcome'],neutral
131,bout hit pmark make one final meal wit housemates  ,"['bout', 'hit', 'pmark', 'make', 'one', 'final', 'meal', 'wit', 'housemates']",neutral
132,  get go home go work,"['get', 'go', 'home', 'go', 'work']",neutral
133,vote cmt com,"['vote', 'cmt', 'com']",neutral
134,got home nice party  tire yet,"['got', 'home', 'nice', 'party', 'tire', 'yet']",neutral
135,now I sunburn,"['now', 'I', 'sunburn']",neutral
136,I job nice day better,"['I', 'job', 'nice', 'day', 'better']",neutral
137,I wish I could go  bea weekend ,"['I', 'wish', 'I', 'could', 'go', 'bea', 'weekend']",neutral
138,I   rupert grint        boy  ive accept tht I fanci but im certain doesnt feel worth tell,"['I', 'rupert', 'grint', 'boy', 'ive', 'accept', 'tht', 'I', 'fanci', 'but', 'im', 'certain', 'doesnt', 'feel', 'worth', 'tell']",negative
139,love book,"['love', 'book']",neutral
140,ok eye doctor guy take forev i m sit cold room myself   what  A jerk ,"['ok', 'eye', 'doctor', 'guy', 'take', 'forev', 'i', 'm', 'sit', 'cold', 'room', 'myself', 'what', 'A', 'jerk']",neutral
141,Im slow My tweets  cuas I lost My phone,"['Im', 'slow', 'My', 'tweets', 'cuas', 'I', 'lost', 'My', 'phone']",positive
142,well thank phone me ,"['well', 'thank', 'phone', 'me']",neutral
143,would take photo stuf animals   that  pretti funni,"['would', 'take', 'photo', 'stuf', 'animals', 'that', 'pretti', 'funni']",negative
144,tweetdeck act realli strange  hum         reinstal maybe  updat horizon  Or anoth adob memori leak,"['tweetdeck', 'act', 'realli', 'strange', 'hum', 'reinstal', 'maybe', 'updat', 'horizon', 'Or', 'anoth', 'adob', 'memori', 'leak']",negative
145,tikcet          each   but I SO want TO GO,"['tikcet', 'each', 'but', 'I', 'SO', 'want', 'TO', 'GO']",neutral
146,happi mother day,"['happi', 'mother', 'day']",negative
147,it  gonna hot today too  today ryan  last day pre k  I can t believ it  i v sahm sinc I him ,"['it', 'gonna', 'hot', 'today', 'too', 'today', 'ryan', 'last', 'day', 'pre', 'k', 'I', 'can', 't', 'believ', 'it', 'i', 'v', 'sahm', 'sinc', 'I', 'him']",neutral
148,dream weekend    awake ,"['dream', 'weekend', 'awake']",neutral
149,oh       me  i v return supermarket Of doom find I noth drink here ,"['oh', 'me', 'i', 'v', 'return', 'supermarket', 'Of', 'doom', 'find', 'I', 'noth', 'drink', 'here']",neutral
150,yay miss naptim,"['yay', 'miss', 'naptim']",positive
151,d group saturday s  littl bit football  hour nap   hour soccer  basketbal tsu yogurtland    life  good,"['d', 'group', 'saturday', 's', 'littl', 'bit', 'football', 'hour', 'nap', 'hour', 'soccer', 'basketbal', 'tsu', 'yogurtland', 'life', 'good']",neutral
152,set new comput again  min  I love norton ghost ,"['set', 'new', 'comput', 'again', 'min', 'I', 'love', 'norton', 'ghost']",positive
153,ahhh mommi got new sheet bed comfi,"['ahhh', 'mommi', 'got', 'new', 'sheet', 'bed', 'comfi']",neutral
154, celest final sleep silenc,"['celest', 'final', 'sleep', 'silenc']",neutral
155,im        O im lazi thank god bank holiday,"['im', 'O', 'im', 'lazi', 'thank', 'god', 'bank', 'holiday']",positive
156,pretti dang tired  chamber class napping ,"['pretti', 'dang', 'tired', 'chamber', 'class', 'napping']",neutral
157,poop    hog shitter,"['poop', 'hog', 'shitter']",neutral
158,yes  Im   full dvr   like  day ago    lol I swear I didnt dvr I would never watch tv,"['yes', 'Im', 'full', 'dvr', 'like', 'day', 'ago', 'lol', 'I', 'swear', 'I', 'didnt', 'dvr', 'I', 'would', 'never', 'watch', 'tv']",neutral
159,happi muthath  day moms    I salut you ,"['happi', 'muthath', 'day', 'moms', 'I', 'salut', 'you']",neutral
160,hahaha  alright   ,"['hahaha', 'alright']",neutral
161,aren t supposs support local economi     lol     good congrat,"['aren', 't', 'supposs', 'support', 'local', 'economi', 'lol', 'good', 'congrat']",neutral
162,good know thank,"['good', 'know', 'thank']",neutral
163,you  flavor day ,"['you', 'flavor', 'day']",neutral
164,weather let morning   ugh    hada gd nite tho ,"['weather', 'let', 'morning', 'ugh', 'hada', 'gd', 'nite', 'tho']",negative
165,just listen condr scr got invit watch live concert june th munich   postrock,"['just', 'listen', 'condr', 'scr', 'got', 'invit', 'watch', 'live', 'concert', 'june', 'th', 'munich', 'postrock']",neutral
166,e l o  wow  bring back mani happi memories  love band   and yes  I know i m show age I don t care,"['e', 'l', 'o', 'wow', 'bring', 'back', 'mani', 'happi', 'memories', 'love', 'band', 'and', 'yes', 'I', 'know', 'i', 'm', 'show', 'age', 'I', 'don', 't', 'care']",neutral
167,that  cute pictur     don t get fat lick bbq     must found chop someon else     ,"['that', 'cute', 'pictur', 'don', 't', 'get', 'fat', 'lick', 'bbq', 'must', 'found', 'chop', 'someon', 'else']",positive
168,oh love sunday morn like   mum made scrambl egg toast,"['oh', 'love', 'sunday', 'morn', 'like', 'mum', 'made', 'scrambl', 'egg', 'toast']",positive
169,hate work sunny boohoo,"['hate', 'work', 'sunny', 'boohoo']",negative
170,onlin ,['onlin'],neutral
171,bundy   days      warm weather come ,"['bundy', 'days', 'warm', 'weather', 'come']",negative
172,wonder cld make thing wors alreadi are    answer   just did   ,"['wonder', 'cld', 'make', 'thing', 'wors', 'alreadi', 'are', 'answer', 'just', 'did']",neutral
173,dutch market agenc ask job applic appli  charact le ,"['dutch', 'market', 'agenc', 'ask', 'job', 'applic', 'appli', 'charact', 'le']",neutral
174,twitter spoil fun  frustratingli slow   couldnt even bid properly ,"['twitter', 'spoil', 'fun', 'frustratingli', 'slow', 'couldnt', 'even', 'bid', 'properly']",neutral
175, chick haha  I complet agre,"['chick', 'haha', 'I', 'complet', 'agre']",neutral
176,If don t pack  can t leave  right ,"['If', 'don', 't', 'pack', 'can', 't', 'leave', 'right']",neutral
177,     lol    wher u head to ,"['lol', 'wher', 'u', 'head', 'to']",neutral
178,go bed great night friend glad know feel class someon el,"['go', 'bed', 'great', 'night', 'friend', 'glad', 'know', 'feel', 'class', 'someon', 'el']",neutral
179,many  mine included  ahem  shld known better back then  wldn t miss mani opportun haha,"['many', 'mine', 'included', 'ahem', 'shld', 'known', 'better', 'back', 'then', 'wldn', 't', 'miss', 'mani', 'opportun', 'haha']",neutral
180,it  nice leav offic sun still,"['it', 'nice', 'leav', 'offic', 'sun', 'still']",neutral
181,I miss soccer mom,"['I', 'miss', 'soccer', 'mom']",positive
182,garlic pills  spider bite toe  lol classic  alway hungry  U kill  funni,"['garlic', 'pills', 'spider', 'bite', 'toe', 'lol', 'classic', 'alway', 'hungry', 'U', 'kill', 'funni']",neutral
183, sighs  Ah well  mayb second email clear get approved ,"['sighs', 'Ah', 'well', 'mayb', 'second', 'email', 'clear', 'get', 'approved']",neutral
184,miss tweet joe       time difference     uk  dont get fave support uk        ,"['miss', 'tweet', 'joe', 'time', 'difference', 'uk', 'dont', 'get', 'fave', 'support', 'uk']",neutral
185,  that came mind  So I said it  and adapt family  vocabulari,"['that', 'came', 'mind', 'So', 'I', 'said', 'it', 'and', 'adapt', 'family', 'vocabulari']",neutral
186,look forward bodi work today,"['look', 'forward', 'bodi', 'work', 'today']",neutral
187,watch ye man  bahaha  movi mess,"['watch', 'ye', 'man', 'bahaha', 'movi', 'mess']",neutral
188,sadli I think I know exactli put it  in expir drawer those thing life span le two year,"['sadli', 'I', 'think', 'I', 'know', 'exactli', 'put', 'it', 'in', 'expir', 'drawer', 'those', 'thing', 'life', 'span', 'le', 'two', 'year']",neutral
189,too much  no  unless one pillow end suffoc one sleep next you ,"['too', 'much', 'no', 'unless', 'one', 'pillow', 'end', 'suffoc', 'one', 'sleep', 'next', 'you']",neutral
190,meet best friend first thing morn gym  omg I still shocked  I hope get better soon,"['meet', 'best', 'friend', 'first', 'thing', 'morn', 'gym', 'omg', 'I', 'still', 'shocked', 'I', 'hope', 'get', 'better', 'soon']",neutral
191,wow fast   next soderl ferrer  gill simon lost,"['wow', 'fast', 'next', 'soderl', 'ferrer', 'gill', 'simon', 'lost']",neutral
192,yup theori great realiti beyond imagination    I also made plan know VS fail,"['yup', 'theori', 'great', 'realiti', 'beyond', 'imagination', 'I', 'also', 'made', 'plan', 'know', 'VS', 'fail']",positive
193,glad know ad display problem due firewal config yr office  phew ,"['glad', 'know', 'ad', 'display', 'problem', 'due', 'firewal', 'config', 'yr', 'office', 'phew']",neutral
194,woot ,['woot'],neutral
195, I don t like monday  wish sunday  caus that  fun day   freak jam little  miss it ,"['I', 'don', 't', 'like', 'monday', 'wish', 'sunday', 'caus', 'that', 'fun', 'day', 'freak', 'jam', 'little', 'miss', 'it']",neutral
196,             ,[],neutral
197,wait last movi finish test screen ghost girlfriend past  glass wine lolli bag hand  yay ,"['wait', 'last', 'movi', 'finish', 'test', 'screen', 'ghost', 'girlfriend', 'past', 'glass', 'wine', 'lolli', 'bag', 'hand', 'yay']",positive
198,happi  starwarsday  may th you  from everyon  paintbal,"['happi', 'starwarsday', 'may', 'th', 'you', 'from', 'everyon', 'paintbal']",neutral
199,must head back offic,"['must', 'head', 'back', 'offic']",neutral
200,St joe dirty ,"['St', 'joe', 'dirty']",negative
201,   camp black butt lake,"['camp', 'black', 'butt', 'lake']",neutral
202,get messag add reciev them  soz i m new,"['get', 'messag', 'add', 'reciev', 'them', 'soz', 'i', 'm', 'new']",neutral
203,I hate life,"['I', 'hate', 'life']",neutral
204,sick stomach   headache   wish someon could come rub temples ,"['sick', 'stomach', 'headache', 'wish', 'someon', 'could', 'come', 'rub', 'temples']",negative
205,      natalya  gotta tell what go on    i d call lost phone number broke blackberri,"['natalya', 'gotta', 'tell', 'what', 'go', 'on', 'i', 'd', 'call', 'lost', 'phone', 'number', 'broke', 'blackberri']",neutral
206,thought unfair  ppl  n got depress haters   ,"['thought', 'unfair', 'ppl', 'n', 'got', 'depress', 'haters']",negative
207,cri real tear,"['cri', 'real', 'tear']",negative
208, brown hold onto one ,"['brown', 'hold', 'onto', 'one']",neutral
209,panchito  burfday parti tonight    wish kiddo ,"['panchito', 'burfday', 'parti', 'tonight', 'wish', 'kiddo']",neutral
210,back town mac crash it  better,"['back', 'town', 'mac', 'crash', 'it', 'better']",neutral
211,archi andrew what were you thinking   veronica ,"['archi', 'andrew', 'what', 'were', 'you', 'thinking', 'veronica']",neutral
212,best thing life free x,"['best', 'thing', 'life', 'free', 'x']",neutral
213,miss mom today  she best friend even though gone sever yr I still miss dearly  happi mother  day,"['miss', 'mom', 'today', 'she', 'best', 'friend', 'even', 'though', 'gone', 'sever', 'yr', 'I', 'still', 'miss', 'dearly', 'happi', 'mother', 'day']",neutral
214,I watch blood   veoh episod  love music wish could watch live action old enough,"['I', 'watch', 'blood', 'veoh', 'episod', 'love', 'music', 'wish', 'could', 'watch', 'live', 'action', 'old', 'enough']",neutral
215,bummer,['bummer'],neutral
216,He truth  but maxwell  you can t forget futur father children ,"['He', 'truth', 'but', 'maxwell', 'you', 'can', 't', 'forget', 'futur', 'father', 'children']",neutral
217, the racoon ate bread ,"['the', 'racoon', 'ate', 'bread']",neutral
218,Be sure let mom know fabul think are   almost mother  day ,"['Be', 'sure', 'let', 'mom', 'know', 'fabul', 'think', 'are', 'almost', 'mother', 'day']",negative
219, in a stori glad i m one  he  baby  i m terrifi he ll think we r never come back ,"['in', 'a', 'stori', 'glad', 'i', 'm', 'one', 'he', 'baby', 'i', 'm', 'terrifi', 'he', 'll', 'think', 'we', 'r', 'never', 'come', 'back']",neutral
